time,lat,lon,bnds,average_DT,average_T1,average_T2,rlds,time_bnds,lat_bnds,lon_bnds
2021-01-16 12:00:00,-89.49438202247192,43.74999999999999,2.0,31 days,2021-01-02,2021-02-02,159.55579,2021-02-01 00:00:00,-88.98876404494382,45.0
2021-01-16 12:00:00,-89.49438202247192,46.25,1.0,31 days,2021-01-02,2021-02-02,159.55455,2021-01-01 00:00:00,-90.0,45.0
2021-01-16 12:00:00,-89.49438202247192,46.25,2.0,31 days,2021-01-02,2021-02-02,159.55455,2021-02-01 00:00:00,-88.98876404494382,47.5
2021-01-16 12:00:00,-89.49438202247192,48.74999999999999,1.0,31 days,2021-01-02,2021-02-02,159.55478,2021-01-01 00:00:00,-90.0,47.5
2021-01-16 12:00:00,-89.49438202247192,48.74999999999999,2.0,31 days,2021-01-02,2021-02-02,159.55478,2021-02-01 00:00:00,-88.98876404494382,50.0
2021-01-16 12:00:00,-89.49438202247192,51.25,1.0,31 days,2021-01-02,2021-02-02,159.55469,2021-01-01 00:00:00,-90.0,50.0
2021-01-16 12:00:00,-89.49438202247192,51.25,2.0,31 days,2021-01-02,2021-02-02,159.55469,2021-02-01 00:00:00,-88.98876404494382,52.50000000000001
2021-01-16 12:00:00,-89.49438202247192,53.74999999999999,1.0,31 days,2021-01-02,2021-02-02,159.55482,2021-01-01 00:00:00,-90.0,52.50000000000001
2021-01-16 12:00:00,-89.49438202247192,53.74999999999999,2.0,31 days,2021-01-02,2021-02-02,159.55482,2021-02-01 00:00:00,-88.98876404494382,55.0
2021-01-16 12:00:00,-89.49438202247192,56.25,1.0,31 days,2021-01-02,2021-02-02,159.55438,2021-01-01 00:00:00,-90.0,55.0
2021-01-16 12:00:00,-89.49438202247192,56.25,2.0,31 days,2021-01-02,2021-02-02,159.55438,2021-02-01 00:00:00,-88.98876404494382,57.5
2021-01-16 12:00:00,-89.49438202247192,58.75,1.0,31 days,2021-01-02,2021-02-02,159.55443,2021-01-01 00:00:00,-90.0,57.5
2021-01-16 12:00:00,-89.49438202247192,58.75,2.0,31 days,2021-01-02,2021-02-02,159.55443,2021-02-01 00:00:00,-88.98876404494382,59.99999999999999
2021-01-16 12:00:00,-89.49438202247192,61.24999999999999,1.0,31 days,2021-01-02,2021-02-02,159.55338,2021-01-01 00:00:00,-90.0,59.99999999999999
2021-01-16 12:00:00,-89.49438202247192,61.24999999999999,2.0,31 days,2021-01-02,2021-02-02,159.55338,2021-02-01 00:00:00,-88.98876404494382,62.49999999999999
