time,lat,lon,bnds,average_DT,average_T1,average_T2,tas,time_bnds,height,lat_bnds,lon_bnds
2021-01-16 12:00:00,-89.49438202247192,51.25,1.0,31 days,2021-01-02,2021-02-02,248.9228,2021-01-01 00:00:00,2.0,-90.0,50.0
2021-01-16 12:00:00,-89.49438202247192,51.25,2.0,31 days,2021-01-02,2021-02-02,248.9228,2021-02-01 00:00:00,2.0,-88.98876404494382,52.50000000000001
2021-01-16 12:00:00,-89.49438202247192,53.74999999999999,1.0,31 days,2021-01-02,2021-02-02,248.92271,2021-01-01 00:00:00,2.0,-90.0,52.50000000000001
2021-01-16 12:00:00,-89.49438202247192,53.74999999999999,2.0,31 days,2021-01-02,2021-02-02,248.92271,2021-02-01 00:00:00,2.0,-88.98876404494382,55.0
2021-01-16 12:00:00,-89.49438202247192,56.25,1.0,31 days,2021-01-02,2021-02-02,248.92072,2021-01-01 00:00:00,2.0,-90.0,55.0
2021-01-16 12:00:00,-89.49438202247192,56.25,2.0,31 days,2021-01-02,2021-02-02,248.92072,2021-02-01 00:00:00,2.0,-88.98876404494382,57.5
2021-01-16 12:00:00,-89.49438202247192,58.75,1.0,31 days,2021-01-02,2021-02-02,248.92068,2021-01-01 00:00:00,2.0,-90.0,57.5
2021-01-16 12:00:00,-89.49438202247192,58.75,2.0,31 days,2021-01-02,2021-02-02,248.92068,2021-02-01 00:00:00,2.0,-88.98876404494382,59.99999999999999
2021-01-16 12:00:00,-89.49438202247192,61.24999999999999,1.0,31 days,2021-01-02,2021-02-02,248.91531,2021-01-01 00:00:00,2.0,-90.0,59.99999999999999
2021-01-16 12:00:00,-89.49438202247192,61.24999999999999,2.0,31 days,2021-01-02,2021-02-02,248.91531,2021-02-01 00:00:00,2.0,-88.98876404494382,62.49999999999999
